Id_platillo,Nombre,Precio,Descripcion
1,Cazuela de Vacuno,7000,Tradicional cazuela chilena con carne de vacuno y vegetales.
2,Guatitas,8000,Guatitas a la jardinera con papas y arroz.
3,Pastel de Choclo,9000,Pastel de choclo con pino de carne y huevo duro.
4,Pollo Asado,7000,Pollo asado al horno con papas doradas.
5,Carne al jugo,9000,Carne de vacuno cocida en su jugo con acompañamientos.
6,Pechuga a la Plancha,8000,Pechuga de pollo a la plancha con ensalada.
7,Costillar de Cerdo,8000,Costillar de cerdo al horno con papas rústicas.
8,Tapabarriga al Horno,9000,Tapabarriga de vacuno al horno con vegetales.
9,Salmón con Salsa Margarita,10000,Filete de salmón con salsa margarita y arroz.
10,Pernil de Cerdo,10000,Pernil de cerdo cocido lentamente con papas.
11,Paila Marina,8000,Sopa de mariscos variados con especias.
12,Pullmay,10000,Plato típico chilote con mariscos y carnes.
13,Ceviche de Salmón,9000,Ceviche de salmón fresco con limón y cilantro.
14,Locos con Salsa Verde,12000,Locos servidos con salsa verde y ensalada.
